store,product,unit,price,date
⁠av.ru,"Молоко пастеризованное Отборное нормализованное от 3.4% до 4.5%, «Простоквашино», 0.93 л, Россия, бзмж",93 л,133,2026-02-25
⁠5ka.ru,Молоко Простоквашино отборное пастеризованное 3.4-4.5% бзмж 930мл,930мл,100,2026-02-25
⁠АШАН,"Молоко пастеризованное Простоквашино 3,4%-4,5% бзмж охлажденное, 930 мл",930 мл,120,2026-02-25
⁠Офисная Служба,"Молоко Простоквашино отборное пастеризованное 3.4%-4%, 930мл",930мл,161,2026-02-25
⁠bliznetsy24.ru,"Молоко Простоквашино 3,4%-4,5% пастеризованное отборное, 930 мл",930 мл,145,2026-02-25
⁠online.metro-cc.ru,"Молоко Простоквашино отборное пастеризованное 3.4%-4%, 930мл",930мл,111,2026-02-25
⁠Гипермаркет «Глобус» ИМ,"Молоко отборное Простоквашино 3,4-4,5%, 930мл",930мл,99,2026-02-25
⁠OZON,"Молоко Простоквашино отборное пастеризованное 3.4-4.5%, 0.93л",93л,293,2026-02-25
⁠samokat.ru,"Молоко Простоквашино, 3,4-4,5%, отборное, пастеризованное 930 мл",930 мл,119,2026-02-25
⁠myspar.ru,"Молоко Простоквашино Отборное 3,4-4,5% 930мл",930мл,130,2026-02-25
⁠Мегамаркет,"Молоко 3,4 - 4,5% пастеризованное 930 мл х 6 шт Простоквашино Отборное бзмж",930 мл,654,2026-02-25
Мегамаркет,Сахар прессованный белый кусковой 1кг,1кг,66,2026-02-25
mdkprod.ru,Русский Сахар белый кусковой  1кг,1кг,89,2026-02-25
fix-price.com,"Сахар белый кристаллический, «Русский сахар», 1 кг",1 кг,69,2026-02-25
kuper.ru,Сахар свекловичный белый кусковой 1 кг,1 кг,140,2026-02-25
OZON,Сахар кусковой вареный белый колотый высший сорт - 1 кг,1 кг,576,2026-02-25
ofisarium.ru,"Сахар ARO белый кусковой, 1кг",1кг,152,2026-02-25
Wildberries,Сахар кусковой твердый вареный белый колотый - 1 кг,1 кг,776,2026-02-25
Мегамаркет,Сахар Rioba белый кусковой 1 кг,1 кг,142,2026-02-25
О’КЕЙ,"Сахар белый кусковой окей, 1 кг",1 кг,111,2026-02-25
Яндекс Маркет,Сахар кусковой твердый Azer Seker 1000г восточные сладости,1000г,712,2026-02-25
Офисная Служба,"aro Сахар белый кусковой, 1кг",1кг,127,2026-02-25
OZON,Сахар кусковой твердый вареный белый колотый - 1 кг,1 кг,642,2026-02-25
OZON,Кубанский продукт Сахар Белый Кусковой 1000г. 1шт.,1000г,256,2026-02-25
Магнит Маркет,"Сахар белый кусковой рафинад Чайкофский, 1 кг",1 кг,139,2026-02-25
online.metro-cc.ru,"aro Сахар белый кусковой, 1кг",1кг,103,2026-02-25
СМП-Склад,"Сахар Чайковский белый кусковой экстра, 1кг  20шт/уп",1кг,137,2026-02-25
Wildberries,Сахар кусковой твердый вареный белый колотый - 1 кг,1 кг,789,2026-02-25
АШАН,"Сахар Каждый день кусковой белый, 1 кг",1 кг,90,2026-02-25
Магнит Маркет,"Сахар белый кусковой рафинад Тахир, 1 кг",1 кг,109,2026-02-25
online.metro-cc.ru,"aro Сахар белый кусковой, 1кг",1кг,95,2026-02-25
kuper.ru,Сахар белый кусковой 1 кг,1 кг,90,2026-02-25
OZON,Сахар прессованный белый кусковой 1кг,1кг,438,2026-02-25
Wildberries,Сахар прессованный Колотый 1 кг,1 кг,295,2026-02-25
kuper.ru,Сахар белый кусковой 1 кг,1 кг,90,2026-02-25
kuper.ru,Сахар свекловичный белый кусковой 1 кг,1 кг,150,2026-02-25
Мегамаркет,Сахар прессованный белый кусковой рафинированный 1 кг,1 кг,77,2026-02-25
АШАН,"Сахар Tahir прессованный, 1 кг",1 кг,100,2026-02-25
kuper.ru,Сахар 365 дней белый кусковой 1 кг,1 кг,114,2026-02-25
Перекресток,Сахар Русский сахар белый прессованный кусковой 1кг,1кг,80,2026-02-25
OZON,"Деловой стандарт Сахар белый кусковой, 1 кг",1 кг,388,2026-02-25
Wildberries,"Сахар белый кусковой, 1кг",1кг,323,2026-02-25
kuper.ru,Сахар Русагро белый кусковой 1 кг,1 кг,90,2026-02-25
kuper.ru,Сахар Aro белый кусковой 1 кг,1 кг,102,2026-02-25
Wildberries,Сахар белый кусковой 1 кг,1 кг,286,2026-02-25
Мегамаркет,Сахар Продимекс белый кусковой 1 кг,1 кг,70,2026-02-25
"Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠","Сахар белый русский сахар кусковой, 1кг",1кг,110,2026-02-25
av.ru,"Сахар кусковой категории ТС2, «Русский», 1 кг, Россия",1 кг,149,2026-02-25
OZON,"Сахар белый Русский сахар, кусковой, рафинад, быстрорастворимый, 1 кг",1 кг,252,2026-02-25
Перекресток,"Сахар Русский сахар Белый кусковой категории экстра, 1кг",1кг,165,2026-02-25
Мегамаркет,Сахар Русский сахар белый кусковой 1кг,1кг,165,2026-02-25
Мегамаркет,Сахар Aro белый кусковой 1 кг,1 кг,90,2026-02-25
738484.ru,"Сахар белый кусковой 1 кг ""Русский сахар"" рафинированный",1 кг,118,2026-02-25
Офисная Служба,"Сахар Rioba 1кг, кусковой",1кг,182,2026-02-25
OZON,"Сахар белый в кубиках лента, категория Экстра ГОСТ, 1 кг / Кусковой сахар-рафинад",1 кг,193,2026-02-25
kuper.ru,Сахар кусковой прессованный 1 кг,1 кг,142,2026-02-25
OZON,Сахар рафинад белый в кубиках кусковой сахар Офисмаг быстрорастворимый 1 кг,1 кг,142,2026-02-25
myspar.ru,Сахар Теплые Традиции Белый Кусковой 1кг,1кг,80,2026-02-25
Wildberries,"Сахар белый прессованный кусковой, 1кг",1кг,505,2026-02-25
Wildberries,"Сахар белый кусковой, 1кг",1кг,335,2026-02-25
OZON,Сахар Дербент кусковой колотый высший сорт - 1 кг,1 кг,534,2026-02-25
Wildberries,Сахар белый кусковой 1кг. Россия,1кг,407,2026-02-25
Wildberries,Сахар кусковой белый Каррефур CLASSIC 1 кг.,1 кг,541,2026-02-25
Wildberries,"Сахар белый кусковой, 1кг",1кг,315,2026-02-25
Wildberries,"Сахар кусковой белый, 1 кг",1 кг,486,2026-02-25
Wildberries,"Сахар кусковой Экстра, 1кг",1кг,342,2026-02-25
Wildberries,Сахар рафинад белый кусковой / 1 кг,1 кг,217,2026-02-25
Wildberries,Сахар Русский сахар белый кусковой 1кг,1кг,451,2026-02-25
Wildberries,Сахар белый русский сахар кусковой,,421,2026-02-25
Wildberries,сахар кусковой 1 кг,1 кг,266,2026-02-25
Wildberries,Сахар белый кусковой ГОСТ 1кг х 2шт,1кг,561,2026-02-25
Wildberries,"Сахар Русский Сахар белый кусковой категории экстра, 1кг",1кг,571,2026-02-25
OZON,"Сахар кусковой Продимекс белый, 1 кг, 1 шт",1 кг,511,2026-02-25
Гипермаркет «Глобус» ИМ,"Сахар кусковой Продимекс белый, 1кг",1кг,149,2026-02-25
samokat.ru,"Сахар Русский, кусковой 1 кг",1 кг,165,2026-02-25
Wildberries,"Сахар белый кусковой ГОСТ, 1кг",1кг,411,2026-02-25
OZON,Сахар рафинад кусковой колотый вареный - 1 кг / Сахар кусковой твердый Дербентский,1 кг,585,2026-02-25
Wildberries,"Сахар белый кусковой, 1кг",1кг,315,2026-02-25
Wildberries,"Сахар белый кусковой ГОСТ, 1кг",1кг,446,2026-02-25
OZON,Сахар Aro белый кусковой 1 кг,1 кг,327,2026-02-25
Wildberries,"Сахар белый кусковой ГОСТ, 1кг",1кг,411,2026-02-25
Wildberries,"Сахар Красная птица Экстра кусковой белый, 1 кг",1 кг,486,2026-02-25
Wildberries,"Сахар белый кусковой ГОСТ, 1кг",1кг,421,2026-02-25
Wildberries,Сахар белый кусковой О’КЕЙ,,535,2026-02-25
Мегамаркет,Соль каменная белая Илецкая пищевая помол № 1 высший сорт 1 кг,1 кг,8,2026-02-25
"Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠","Соль илецкая помол №1 высший сорт, 1кг",1кг,16,2026-02-25
OZON,"Соль илецкая помол №1 высший сорт, 1кг",1кг,45,2026-02-25
mdkprod.ru,Соль Экстра мелкая 1кг,1кг,35,2026-02-25
АШАН,"Соль пищевая ТДС экстра, 1 кг",1 кг,36,2026-02-25
kuper.ru,Соль поваренная пищевая 1 кг,1 кг,24,2026-02-25
Мегамаркет,Соль илецкая Руссоль в/с поваренная пищевая молотая 1 кг,1 кг,16,2026-02-25
online.metro-cc.ru,"aro Соль поваренная пищевая, 1кг",1кг,13,2026-02-25
Перекресток,"Соль поваренная пищевая крупная, 1кг",1кг,11,2026-02-25
GIPERMIX.RU,"Соль No name Соль пищевая крупная 1 кг, пэт пакет, ш/к 80015",1 кг,43,2026-02-25
novostea.ru,"Соль поваренная пищевая молотая Илецкая в/с, 1 кг.",1 кг,20,2026-02-25
vodovoz.ru,Соль Полесье экстра 1 кг,1 кг,65,2026-02-25
lavka.yandex.ru,Соль «Илецкая» помол №1,,20,2026-02-25
belprodykt.ru,"Соль йодированная экстра ""Полесье"" 1кг. Мозырьсоль",1кг,37,2026-02-25
О’КЕЙ,Соль поваренная пищевая каменная помол 1кг,1кг,45,2026-02-25
GIPERMIX.RU,"Соль Салина поваренная пищевая каменная помол № 1 первый сорт, 1 кг",1 кг,22,2026-02-25
АШАН,"Соль пищевая ТДС йодированная, 1 кг",1 кг,41,2026-02-25
kuper.ru,Соль поваренная крупная 1 кг,1 кг,10,2026-02-25
Wildberries,"Соль поваренная пищевая, 1кг",1кг,183,2026-02-25
coolclever.ru,Соль пищевая каменная первый помол 1кг,1кг,39,2026-02-25
Wildberries,Соль морская натуральная пищевая помол №1 Mareman 1кг,1кг,305,2026-02-25
Wildberries,Соль Гималайская розовая 1кг,1кг,341,2026-02-25
OZON,"Соль гималайская розовая пищевая, крупная 1 кг",1 кг,589,2026-02-25
АШАН,"Соль пищевая Илецкая высший сорт, 1 кг",1 кг,26,2026-02-25
AliExpress,"Соль Илецкая пищевая, высший сорт, крупный помол, 1 кг",1 кг,16,2026-02-25
OZON,"Соль экстра Полесье, 1 кг",1 кг,119,2026-02-25
abri-kos.ru,Соль Илецкая поваренная пищевая помол №1 1кг,1кг,39,2026-02-25
АШАН,"Социальный товар Соль пищевая поваренная, 1 кг",1 кг,13,2026-02-25
АШАН,"Соль пищевая Илецкая молотая йодированная, 1 кг",1 кг,21,2026-02-25
Мегамаркет,Соль поваренная экстра пищевая 1 кг,1 кг,24,2026-02-25
Wildberries,"Соль поваренная пищевая 1 сорт помол №1, 1кг",1кг,97,2026-02-25
аврора-канц.рф,"Соль пищевая 1кг илецкая Помол №1 Поваренная молотая высшего сорта, картонная упаковка",1кг,31,2026-02-25
Wildberries,Соль пищевая каменная 1 кг,1 кг,161,2026-02-25
Мегамаркет,Соль каменная Salina помол №1 поваренная пищевая 1 кг,1 кг,35,2026-02-25
Мегамаркет,Соль Ваш выбор помол №1 поваренная пищевая 1 кг,1 кг,13,2026-02-25
аврора-канц.рф,"Соль пищевая 1кг илецкая Помол №1 Поваренная молотая высшего сорта, пакет",1кг,28,2026-02-25
belprodykt.ru,Соль каменная помол №1 1кг. Салина,1кг,36,2026-02-25
аврора-канц.рф,"Соль пищевая 1кг илецкая Помол №1 Поваренная молотая высшего сорта, картонная упаковка",1кг,31,2026-02-25
Wildberries,Соль пищевая каменная 1 кг,1 кг,161,2026-02-25
Мегамаркет,Соль каменная Salina помол №1 поваренная пищевая 1 кг,1 кг,35,2026-02-25
Мегамаркет,Соль Ваш выбор помол №1 поваренная пищевая 1 кг,1 кг,13,2026-02-25
belprodykt.ru,Соль каменная помол №1 1кг. Салина,1кг,36,2026-02-25
OZON,Соль Илецкая йодированная пищевая помол №1 1кг,1кг,74,2026-02-25
myspar.ru,Соль Славяночка Поваренная Пищевая 1кг,1кг,19,2026-02-25
О’КЕЙ,Соль поваренная пищевая самосадочная 1 помол 1кг,1кг,17,2026-02-25
Мегамаркет,Соль РусСоль Илецкая йодированная пищевая помол №1 высший сорт 1 кг,1 кг,15,2026-02-25
аврора-канц.рф,"Соль пищевая крупная 1 кг, пэт пакет",1 кг,18,2026-02-25
officemag.ru,Соль пищевая крупная 1 кг,1 кг,41,2026-02-25
аврора-канц.рф,"Соль пищевая 1кг илецкая Помол №1 Поваренная молотая высшего сорта, пакет",1кг,28,2026-02-25
Мегамаркет,Соль поваренная пищевая крупная 1кг,1кг,12,2026-02-25
Мегамаркет,Соль поваренная экстра пищевая 1 кг,1 кг,23,2026-02-25
Wildberries,"Соль поваренная пищевая, 1кг",1кг,183,2026-02-25
Wildberries,"Соль поваренная пищевая, 1кг",1кг,198,2026-02-25
sibprod.info,Соль Тыретская помол №1 в/с не йодированная/1кг,1кг,20,2026-02-25
Wildberries,"Соль пищевая каменная для консервирования, 1000г",1000г,230,2026-02-25
Wildberries,Соль пищевая 1 кг,1 кг,175,2026-02-25
OZON,"Соль морская натуральная пищевая, средняя  помол №1 , Mareman , 1 кг",1 кг,137,2026-02-25
Wildberries,Соль пищевая Илецкая высший сорт,,219,2026-02-25
Wildberries,"Соль поваренная пищевая, 1кг",1кг,183,2026-02-25
Wildberries,"aro Соль поваренная пищевая, 1кг - 1 шт",1кг,261,2026-02-25
Wildberries,"Соль пищевая, 1 кг",1 кг,220,2026-02-25
Wildberries,Соль пищевая высший сорт помол 1кг,1кг,158,2026-02-25
OZON,"Соль Пищевая Морская Натуральная, Крупная 1000 г.   1 кг.  Высший Сорт",1000 г,187,2026-02-25
pronatek.ru,Соль Экстра  Полесье  1кг*20,1кг,111,2026-02-25
OZON,"Соль Пищевая Морская Натуральная, Мелкая 1000 г.   1 кг.",1000 г,185,2026-02-25
OZON,"Соль 1 кг пищевая 1 помол для приготовления блюд ,засолки и консервирования без добавок Тырецкий солерудник",1 кг,174,2026-02-25
5ka.ru,Соль Salina пищевая каменная 1кг,1кг,38,2026-02-25
OZON,Соль Илецкая пищевая 1кг,1кг,170,2026-02-25
OZON,Соль Илецкая пищевая 1кг,1кг,170,2026-02-25
OZON,"Соль каменная пищевая /крупная, 1 кг",1 кг,310,2026-02-25
pronatek.ru,Соль Каменная  Тыретская  1кг*20,1кг,111,2026-02-25
Экор,Соль Экстра 1кг Мозырьсоль 1/20,1кг,43,2026-02-25
Wildberries,Соль пищевая Илецкая высший сорт 1кг,1кг,137,2026-02-25
OZON,Соль илецкая крупная 1кг пищевая помол №3,1кг,171,2026-02-25
Мегамаркет,Соль Mareman натуральная пищевая морская повареная садочная помол №1 1 кг,1 кг,99,2026-02-25
⁠Яндекс Маркет,"Гречка Мистраль, ядрица, высший сорт, без ГМО, в пакете, 900г",900г,137,2026-02-25
⁠OZON,"Гречка Мистраль Фермерская, пропаренная, 900 г",900 г,115,2026-02-25
⁠tvoydom.ru,Гречка Мистраль ядрица 900 г,900 г,90,2026-02-25
⁠GIPERMIX.RU,Мистраль 900г Крупа гречневая ядрица,900г,65,2026-02-25
⁠gurman-llc.ru,"Гречка ядрица ""Мистраль""  900 гр",900 г,92,2026-02-25
⁠Мегамаркет,Крупа Мистраль Гречневая Фермерская 900г,900г,71,2026-02-25
⁠О’КЕЙ,Крупа гречневая Мистраль ядрица 900г,900г,158,2026-02-25
⁠АШАН,"Крупа гречневая Мистраль, 900 г",900 г,130,2026-02-25
⁠Гипермаркет «Глобус» ИМ,"Крупа гречневая Мистраль фермерская, 900г",900г,188,2026-02-25
⁠Доставка DIXY,Крупа Мистраль гречневая ядрица 900г,900г,140,2026-02-25
⁠Вкусные Решения,"Гречка Мистраль Фермерская, 900 г",900 г,155,2026-02-25
⁠Онлайн Трейд.ру,Гречка мистраль Фермерская 900 г,900 г,179,2026-02-25
⁠tuttofoods.ru,Гречка мистраль Ядрица Фермерская 900г,900г,185,2026-02-25
⁠Wildberries,Гречка Фермерская 900 г,900 г,109,2026-02-25
⁠5ka.ru,Гречка Мистраль 900г,900г,130,2026-02-25
⁠Впрок,Крупа Мистраль Гречневая ядрица 900г,900г,80,2026-02-25
"⁠Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠Официальный магазин","Крупа гречневая мистраль ядрица высший сорт, 900г",900г,95,2026-02-25
⁠Wildberries,Гречка ядрица 900 г,900 г,116,2026-02-25
⁠mdkprod.ru,Гречневая крупа Мистраль Ядрица 900г,900г,93,2026-02-25
⁠apeti.ru,Крупа гречневая Мистраль ядрица 900 г,900 г,106,2026-02-25
⁠ramen.ru,Крупа Мистраль гречневая ядрица 900 г,900 г,98,2026-02-25
⁠Магнит Маркет,"Гречка мистраль Фермерская, ядрица, 900 г",900 г,109,2026-02-25
⁠Деликатеска,Гречка ядрица Мистраль 900г,900г,130,2026-02-25
⁠Вкусные Решения,"Гречка Мистраль ядрица, 900 г",900 г,120,2026-02-25
⁠Перекресток,"Гречка Мистраль Фермерская, 900г",900г,170,2026-02-25
⁠online.metro-cc.ru,"Крупа гречневая Мистраль Фермерская, 900г",900г,185,2026-02-25
⁠О’КЕЙ,Крупа гречневая Националь 900г,900г,90,2026-02-25
⁠OZON,"Гречка Мистраль, пропаренная, 900 г",900 г,142,2026-02-25
⁠Мегамаркет,Крупа гречневая Мистраль ядрица 900 г,900 г,95,2026-02-25
⁠navafish.ru,"Масло подсолнечное Олейна, 1 л купить в Москве недорого, цены - Рыбокомплекс навафиш",1 л,119,2026-02-25
⁠pronatek.ru,Масло 'Олейна 'подсол.класс. 1л*15,1л,111,2026-02-25
"⁠Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠Официальный магазин","Масло подсолнечное олейна рафинированное дезодорированное 1-й сорт, 1л",1л,130,2026-02-25
⁠igooods.ru,"Масло подсолнечное «Олейна» рафинированное первый сорт, 1 л",1 л,130,2026-02-25
⁠АШАН,"Масло подсолнечное Олейна рафинированное первый сорт, 1 л",1 л,177,2026-02-25
⁠О’КЕЙ,Масло подсолнечное Олейна рафинированное дезодорированное 1л,1л,147,2026-02-25
⁠Комус,Масло Олейна подсолнечное рафинированное 1 л,1 л,219,2026-02-25
⁠online.metro-cc.ru,"Масло подсолнечное Олейна рафинированное, 1л",1л,134,2026-02-25
⁠dobrodusha.ru,"Олейна масло подсолнечное рафинированное, 1 л",1 л,181,2026-02-25
⁠аврора-канц.рф,"Масло подсолнечное олейна, рафинированное, 1 л",1 л,191,2026-02-25
⁠vodovoz.ru,Масло Олейна подсолнечное 1 литр,1 л,245,2026-02-25
⁠Гипермаркет «Глобус» ИМ,Масло подсолнечное Олейна рафинированное дезодорированное без запаха,,177,2026-02-25
